Driver,Stint,Compound,EarlyStintPace_sec,LateStintPace_sec,DegPerLap_sec
VER,1.0,MEDIUM,93.08,101.07,0.271
GAS,1.0,MEDIUM,94.16,93.32,-0.03
PER,1.0,MEDIUM,94.93,92.65,-0.093
PER,2.0,SOFT,91.47,91.08,-0.019
ALO,1.0,MEDIUM,97.22,105.14,0.259
LEC,1.0,MEDIUM,93.46,92.96,-0.035
LEC,2.0,HARD,92.86,93.97,0.106
LEC,3.0,MEDIUM,135.16,91.91,-2.621
STR,1.0,MEDIUM,98.57,93.55,-0.176
SAR,1.0,MEDIUM,95.42,93.31,-0.083
SAR,2.0,SOFT,102.13,92.01,-0.519
MAG,1.0,MEDIUM,95.75,93.43,-0.085
DEV,1.0,SOFT,95.48,93.54,-0.083
DEV,2.0,MEDIUM,92.53,98.51,3.984
DEV,3.0,SOFT,117.75,92.5,-1.531
TSU,1.0,SOFT,94.74,94.48,-0.025
TSU,2.0,HARD,93.0,97.86,0.335
TSU,3.0,SOFT,120.63,92.93,-1.679
ALB,1.0,MEDIUM,94.41,94.16,-0.009
ZHO,1.0,MEDIUM,95.3,93.5,-0.088
ZHO,2.0,HARD,92.72,110.73,3.274
HUL,1.0,HARD,94.9,95.21,0.088
HUL,2.0,MEDIUM,93.6,100.2,0.307
HUL,3.0,SOFT,113.89,92.03,-1.324
OCO,1.0,SOFT,94.67,94.07,-0.109
NOR,1.0,MEDIUM,93.11,102.74,0.326
NOR,2.0,HARD,147.17,91.3,-3.605
HAM,1.0,MEDIUM,94.01,103.8,0.332
SAI,1.0,MEDIUM,93.82,93.03,-0.035
SAI,2.0,HARD,92.08,91.55,-0.024
RUS,2.0,MEDIUM,91.66,91.47,-0.009
BOT,1.0,HARD,95.8,97.59,0.063
BOT,2.0,SOFT,123.35,92.05,-1.897
PIA,1.0,MEDIUM,93.17,92.87,-0.012
PIA,2.0,HARD,95.55,91.33,-0.216

RACE: 2023 Silverstone
VER,1.0,MEDIUM,93.08,101.07,0.271
GAS,1.0,MEDIUM,94.16,93.32,-0.03
PER,1.0,MEDIUM,94.93,92.65,-0.093
PER,2.0,SOFT,91.47,91.08,-0.019
ALO,1.0,MEDIUM,97.22,105.14,0.259
LEC,1.0,MEDIUM,93.46,92.96,-0.035
LEC,2.0,HARD,92.86,93.97,0.106
LEC,3.0,MEDIUM,135.16,91.91,-2.621
STR,1.0,MEDIUM,98.57,93.55,-0.176
SAR,1.0,MEDIUM,95.42,93.31,-0.083
SAR,2.0,SOFT,102.13,92.01,-0.519
MAG,1.0,MEDIUM,95.75,93.43,-0.085
DEV,1.0,SOFT,95.48,93.54,-0.083
DEV,2.0,MEDIUM,92.53,98.51,3.984
DEV,3.0,SOFT,117.75,92.5,-1.531
TSU,1.0,SOFT,94.74,94.48,-0.025
TSU,2.0,HARD,93.0,97.86,0.335
TSU,3.0,SOFT,120.63,92.93,-1.679
ALB,1.0,MEDIUM,94.41,94.16,-0.009
ZHO,1.0,MEDIUM,95.3,93.5,-0.088
ZHO,2.0,HARD,92.72,110.73,3.274
HUL,1.0,HARD,94.9,95.21,0.088
HUL,2.0,MEDIUM,93.6,100.2,0.307
HUL,3.0,SOFT,113.89,92.03,-1.324
OCO,1.0,SOFT,94.67,94.07,-0.109
NOR,1.0,MEDIUM,93.11,102.74,0.326
NOR,2.0,HARD,147.17,91.3,-3.605
HAM,1.0,MEDIUM,94.01,103.8,0.332
SAI,1.0,MEDIUM,93.82,93.03,-0.035
SAI,2.0,HARD,92.08,91.55,-0.024
RUS,2.0,MEDIUM,91.66,91.47,-0.009
BOT,1.0,HARD,95.8,97.59,0.063
BOT,2.0,SOFT,123.35,92.05,-1.897
PIA,1.0,MEDIUM,93.17,92.87,-0.012
PIA,2.0,HARD,95.55,91.33,-0.216

RACE: 2023 Singapore
VER,1.0,HARD,101.55,103.53,0.054
VER,2.0,MEDIUM,107.03,97.18,-0.533
GAS,1.0,MEDIUM,101.9,110.22,0.504
GAS,2.0,HARD,122.04,100.53,-0.559
PER,1.0,HARD,101.82,105.86,0.114
PER,2.0,MEDIUM,98.63,98.15,-0.025
ALO,1.0,MEDIUM,101.8,108.32,0.395
ALO,2.0,HARD,124.24,118.36,-0.287
ALO,3.0,SOFT,146.08,101.52,-2.785
LEC,2.0,HARD,125.94,100.56,-0.659
SAR,1.0,MEDIUM,101.84,117.44,1.007
SAR,2.0,HARD,117.72,109.77,-0.388
SAR,3.0,MEDIUM,98.66,101.89,0.209
MAG,1.0,MEDIUM,102.1,109.51,0.449
MAG,2.0,HARD,122.71,109.42,-0.681
ALB,1.0,MEDIUM,101.84,110.24,0.509
ALB,2.0,HARD,119.15,107.38,-0.603
ALB,3.0,MEDIUM,99.13,99.35,0.014
ZHO,2.0,HARD,100.12,112.99,0.887
ZHO,3.0,MEDIUM,111.74,102.02,-0.253
HUL,1.0,MEDIUM,102.12,110.22,0.49
HUL,2.0,HARD,119.97,104.0,-0.415
OCO,1.0,MEDIUM,101.8,108.93,0.432
OCO,2.0,HARD,123.27,100.0,-1.258
NOR,1.0,MEDIUM,101.47,106.91,0.329
NOR,2.0,HARD,125.53,99.53,-0.675
LAW,1.0,MEDIUM,101.83,110.29,0.513
